GDP per capita,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Iran,5170.780123,5120.313063,5520.33437,5748.040339,6264.508816,6689.493671,7227.744141,8078.275062,8867.869356,9531.240316,10425.18929,11800.34307,12464.43308,12918.04183,13225.34265,14997.94897,14369.86335,12364.89071,10986.08138,9228.946453,8608.684884,9497.339264,10308.17361,9949.840503,9728.189699,8501.652888,8184.777854,7547.176097,7641.922773,8286.203967,8990.135746,9402.026413,9099.96477,9151.355167,9292.084577,9708.622961,9915.872937,10044.89798,10261.58895,10430.89427,10561.61349,11252.37031,11995.80027,12460.90374,12964.13096,13595.7836,14549.67416,14626.49206,15031.34895,15700.71707,15969.70195
Iraq,6937.778097,7068.98903,6729.246435,7298.608163,7703.956225,7846.88242,7413.41773,8444.360777,8444.360777,8137.420915,8393.535458,7936.161188,9341.758316,10280.57893,11387.98257,12913.61265,12552.13151,14338.56993,18164.27519,18069.44925,14673.25665,13819.39235,11758.75908,11646.96344,11708.84585,12099.39083,14250.79621,14421.86118,12643.78981,12319.29379,4009.471922,4831.679977,7004.212328,6246.377558,4887.463736,7030.792138,8382.983585,10944.94049,12911.07749,12750.14283,12701.6832,11276.08079,7125.200917,10993.60324,11050.7259,11739.31788,11614.51076,12046.7967,12307.73811,12696.18545,13247.83587
Ireland,8182.641128,8414.324828,8750.751552,9048.918028,9168.300168,9220.904583,9713.563859,10471.73427,11052.04777,11251.88012,11531.70229,12092.8662,12463.07615,12781.89385,13278.89341,13253.88703,14148.62408,14973.31221,15185.00682,15501.24309,15819.53841,16010.41952,15862.42905,16435.6248,16890.08201,16815.41537,17602.21552,18575.05868,19746.66554,21448.96559,21723.08576,22279.03333,22747.27358,23941.54463,26114.89913,28097.70331,31114.01655,33150.86066,36157.40056,39115.25363,41027.74876,43237.75242,44651.30212,46063.10649,48288.87509,49706.93544,50701.85347,48423.25844,45293.3449,44735.12262,45175.77542
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,7553.405792,7962.52787,8456.031328,8944.365567,9482.783686,9358.437184,9405.977122,10633.01828,11675.32127,12246.79693,13169.88085,14328.96085,14581.59366,15156.48706,15341.89581,15226.14081,14911.31903,15307.1493,15896.58848,16606.37007,17170.40051,17220.20231,17515.60348,17327.26602,17618.50876,18183.9389,19187.34996,19259.78812,19104.75546,19604.96045,19881.43065,20287.05212,20852.66238,21728.18591,22537.12624,23160.43238,23350.55348,23762.31492,23942.24531,25475.93965,24826.88636,24191.82197,24118.23265,24843.55186,25615.35506,26574.37595,27913.44451,28643.17629,28315.65262,29377.98384,30159.04956
Italy,10590.18476,11163.51833,11696.16162,11946.26971,12203.49267,12869.85705,13572.40774,14481.99281,15267.87097,15963.7103,16168.17062,16615.13855,17785.81517,18437.50396,17822.42989,18988.59726,19305.5568,20084.78364,21277.49266,21940.70613,22158.62499,22395.17877,22638.88177,23740.1914,24482.64498,25024.89057,26010.57516,27482.07845,28663.79684,29198.63021,29461.31679,29811.03576,29557.22202,30430.6984,32068.04444,32362.23857,33415.0951,34410.39677,35383.84173,36780.90115,37619.51006,37874.59913,37700.64282,37765.55198,37579.24903,38216.45478,38610.19304,37851.37973,35518.04471,35953.3125,35917.29995
Jamaica,6340.50097,6387.700879,6469.140228,6813.951233,7202.717716,7341.913263,7457.486038,7705.434965,8166.459499,9030.617697,8923.990947,9051.560791,9691.609912,9170.913862,9021.710376,8362.220561,8097.329288,8070.323372,7827.277561,7324.142668,7420.473357,7388.506004,7532.992506,7447.944066,7086.879209,7190.220923,7733.315633,7943.838167,8460.114183,8884.327747,8870.804957,9016.292044,9068.105334,9129.121217,9161.869334,8908.332112,8671.710308,8538.208985,8436.585244,8442.926418,8508.410453,8516.891681,8635.330379,8637.031779,8683.978066,8883.481672,8967.377583,8856.904823,8549.183627,8392.323812,8484.585699
Japan,5286.292043,5701.345447,6127.594781,6770.315725,7083.490763,7767.115909,8506.534044,9502.228575,10622.24405,14308.18762,14775.98912,15797.72614,16834.68814,16414.38834,16721.87757,17202.10303,17786.63812,18562.38978,19420.57137,19809.52327,20476.31372,21008.17788,21497.22048,22312.53556,23593.25932,24147.95724,25042.1192,26740.96791,28084.8938,29548.45427,30436.13848,30609.34142,30586.11688,30746.4266,31224.18923,31957.12417,32382.06982,31653.32874,31530.36879,32186.25558,32229.78882,32248.03698,32721.35999,33482.5501,33915.55118,34494.2984,35246.4083,34897.48923,33006.46966,34571.07523,34315.79832
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,5209.50292,5082.425635,5139.963171,5782.687452,6176.112836,6086.808467,5934.804602,5187.155966,5379.809075,4647.442413,4589.609661,4569.092151,4633.813933,4862.001644,5011.167551,6007.327842,6174.109109,7213.535798,7603.444732,8691.427236,8735.107794,9007.668082,8839.187181,9247.532519,9223.874702,9704.262474,9629.47046,9215.352482,7960.14099,7357.572725,6762.68241,7427.918013,7628.297105,7815.78356,8078.468474,7941.23977,7890.672198,7845.720589,7849.54878,7932.184197,8101.60697,8322.584962,8429.369616,8908.306401,9294.655262,9819.046848,10393.53871,10903.28899,11250.4064,11259.99494,11292.20029
Kazakhstan,8746.146519,8836.606279,8505.73661,9474.086846,9889.767156,10252.72266,10592.62767,11102.59862,11152.53863,11898.94163,12095.80124,12043.8282,12932.47357,13064.48214,12862.63697,13223.48811,13294.41163,13389.08863,13096.13772,12889.71777,12786.2878,12876.6277,13057.95464,12984.43154,12868.38779,13161.45573,13100.399,13153.55718,13165.15484,12649.18094,11185.04698,10568.34718,9648.810767,8573.490943,8020.982325,8154.761396,8406.709261,8375.399561,8694.181645,9579.540953,10858.25281,11902.61332,12983.4151,14156.9562,15529.63949,17028.06051,18329.67689,18704.08908,18679.14899,19709.30913,20772.06612
Kenya,1807.951605,1897.02643,1917.480281,1967.974601,1998.369058,2164.866328,2184.004327,2112.812479,2174.077861,1993.233902,2049.061594,2076.25198,2106.420258,2130.178928,2045.323326,2050.169431,2156.455644,2263.929936,2262.019986,2299.528692,2296.815631,2292.321647,2236.941988,2192.332695,2202.629488,2275.690744,2325.314879,2383.750261,2410.727981,2428.510355,2382.135602,2287.535438,2224.342283,2214.577697,2246.137301,2275.689502,2222.464492,2238.903779,2228.560035,2182.927686,2221.96831,2176.873147,2181.973277,2234.061783,2305.528454,2389.226294,2491.909588,2466.139948,2468.95493,2543.561751,2584.885115
Kiribati,2759.707602,2804.07651,2848.445419,2892.814327,2937.183236,2981.552144,3025.921052,3070.289961,3114.658869,3159.027778,3018.572341,3317.032433,3937.667158,5614.42956,5795.658809,4151.61014,3868.066968,3814.005392,3287.739622,1780.231806,1674.405545,1796.708801,1577.976169,1653.921941,1533.548535,1512.075214,1422.487586,1633.806242,1455.101741,1453.194013,1365.406034,1387.93534,1417.625695,1468.263279,1434.371122,1499.854159,1558.988085,1702.230228,1676.306492,1804.379009,1785.303588,1763.428142,1801.491753,1825.938075,1791.891879,1683.481873,1781.957975,1803.407433,1764.619431,1729.366866,1749.773538
"Korea, Dem. Rep.",1680,1641,1620,1630,1663,1644,1670,1693,1659,1710,1711,1741,1762,1792,1854,1860,1893,1817,2023,1894,2079,2186,2143,2210,2125,2109,2144,2199,2258,2076,1973,1745,1619,1605,1442,1393,1230,1267,1377,1287,1368,1375,1405,1410,1464,1461,1392,1427.320133,1406.919758,1392.923112,1396.574121
"Korea, Rep.",1242.349901,1218.761203,1341.955768,1415.615363,1448.594007,1594.266968,1650.271149,1801.36069,2024.739252,2166.725868,2454.167854,2790.349848,3361.420361,3710.914005,4148.725623,4657.827325,5009.705052,5421.093237,5552.659227,4940.128375,5201.121415,5525.928744,6123.756462,6659.654071,7018.50215,8049.808688,9154.21286,10295.93317,11067.24173,12155.10147,13385.57927,14255.0638,15368.92581,16917.36141,18582.27062,19540.35216,20366.57368,19465.0115,21078.86965,22308.26718,23060.29875,24825.30563,25589.50754,26636.14886,27372.047,28285.33691,29554.3558,29082.93415,29202.36328,30994.51384,31327.12691
"Korea, United",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15938.28232,11316.75116,7937.629539,5621.738962,5348.967694,5594.570313,5966.629866,6354.117336,5802.341378,4506.964285,4812.945948,6154.618131,6375.853639,6108.878164,6142.724873,6422.820229,6618.339762,6954.911735,7316.720679,7520.459339,7806.925126,8222.570738
Kuwait,32264.74399,35047.83698,37830.92998,40614.02298,43397.11598,46180.20898,48963.30197,51746.39497,54529.48797,57312.58097,67496.58658,66252.38753,63124.04443,122481.6705,97696.91314,98448.23268,93765.32517,86532.63379,117233.5464,115479.6013,91386.12154,72396.99321,69728.9391,68119.03477,62298.47753,45953.33547,51475.6619,43815.97804,49818.01248,40345.92563,20237.14358,54758.50002,74929.33951,81266.74567,88461.53564,89046.18797,88417.70642,87067.58351,80986.30204,80881.81074,78412.15291,78097.85533,88675.20494,94636.21771,99642.13711,101767.2331,102060.7986,98890.33743,87124.78838,81036.76994,82474.81008
Kyrgyzstan,2881.403847,2936.878892,2993.421985,3051.05369,3109.794966,3169.667175,3230.692091,3292.891906,3356.289241,3420.907151,3486.769136,3553.899147,3622.321598,3615.0888,3607.870444,3600.666501,3593.476943,3586.30174,3579.140864,3571.994287,3564.861979,3557.743913,3550.640059,3543.55039,3536.474877,3529.413492,3522.366206,3515.332993,3508.313822,3501.308667,3176.718379,2709.85475,2292.491804,1833.341491,1716.726798,1812.236304,1963.763253,1976.850662,2021.496388,2106.728743,2195.630451,2170.024464,2287.743579,2417.947666,2382.755669,2429.281847,2616.073511,2782.915972,2826.624584,2782.838944,2920.60321
Laos,1360.404256,1373.179146,1385.743534,1399.671871,1412.539312,1426.665054,1440.468452,1454.635064,1469.075519,1483.745585,1498.605125,1513.612805,1528.280726,1542.102967,1555.022845,1596.088499,1628.625145,1658.366815,1699.082029,1738.539621,1768.638585,1783.700952,1794.87161,1807.67067,1822.705268,1826.887664,1830.989393,1835.468257,1839.760313,1843.833071,1847.198614,1891.303008,2024.693201,2090.709665,2141.703558,2137.782499,2193.665956,2203.522582,2315.76748,2387.798522,2461.845952,2542.126243,2624.086838,2724.549254,2848.207665,3047.684542,3236.932026,3436.417954,3639.733862,3879.352221,4133.147578
Latvia,5813.483808,5873.611585,5653.685534,6297.339103,6573.638013,6814.891228,7040.822987,7379.796023,7412.990692,7909.117959,8039.968746,8005.422739,8596.097209,8940.296807,9476.436211,9880.75916,10066.38727,10263.76732,10754.3806,11127.42781,11530.30848,11732.52888,12268.64271,12899.85361,12772.96833,13298.25806,13527.09157,14131.25109,14845.65479,13734.44004,12043.7906,8268.682606,7996.410914,8293.392472,8322.831926,8721.569971,9602.000799,10222.37836,10792.29891,11626.02901,12630.391,13568.68556,14624.25736,15979.56732,17767.24064,19942.73643,22045.67555,21489.26117,17916.23587,18101.81769,19515.75381
Lebanon,5513.369602,5570.42693,5462.79869,5630.46907,6012.168444,6230.80722,5758.633862,6290.04434,6242.257032,6479.975241,6897.79601,7543.262744,7679.022474,7700.577231,5290.403321,2202.674767,3756.254358,3816.534395,4279.717382,4496.178708,4490.652609,2822.973863,3384.797124,4864.1628,6034.886486,5648.082115,6560.227451,4708.65125,2701.557559,3518.675324,5000.631907,4288.602185,4414.191378,4625.194173,4850.510922,4941.302534,5423.719522,6111.518994,6491.166781,6832.196783,7590.06218,8516.675275,9361.472787,10899.89318,12039.16475,11921.11724,12744.75707,13736.44811,16182.54478,16457.35045,16431.14961
Lesotho,562.5261338,638.3046574,696.2447959,740.1782305,737.5081332,736.6474489,798.6168143,779.750567,772.0282964,773.1655945,686.8488711,801.6087768,989.9199133,1026.645627,920.9161824,1046.898336,1200.189849,1399.177185,1214.300715,1149.814377,1130.468428,1140.404709,1129.844936,1153.17952,1165.194831,1198.557587,1178.131558,1260.529753,1309.219916,1364.487302,1373.771262,1449.878388,1473.036273,1520.490056,1522.760783,1581.67904,1607.032184,1609.901795,1629.192156,1687.154127,1736.311391,1727.078916,1791.421216,1816.368319,1848.530566,1909.841064,1980.709731,2066.685957,2104.292308,2199.679439,2268.494538
Liberia,1745.054598,1720.467094,1714.067493,1752.220935,1780.004131,1862.345691,1929.39414,1961.510923,2043.914608,2116.537182,2163.244255,2179.748677,2201.01079,2211.582069,2064.965126,2102.622333,2062.878007,2119.601831,2154.799012,1956.26478,1817.417802,1785.956354,1670.21325,1619.989056,1564.273699,1538.976584,1572.735744,1634.087742,1703.426144,846.7671217,738.7259941,488.2175203,331.0270432,257.8031184,240.3630688,256.142007,493.293567,594.2329871,684.6975546,797.5910563,794.8432984,808.4433267,550.23557,554.4456547,567.3543175,618.6578988,640.2942969,657.5573366,675.772451,696.1331569,728.9858716
Libya,13398.66806,17284.55574,22669.21725,31108.92925,38698.28983,44371.73992,48020.89586,62194.21957,67643.06574,68847.3862,62936.42264,53747.63039,51824.70622,42238.84,43731.1185,52366.52549,56151.43007,57073.97815,62360.65158,60525.78489,46265.5241,44852.07243,41015.42622,36050.31858,36470.72371,31120.15483,25455.83333,24273.18795,24889.38125,27400.36728,30965.16775,29451.76866,27729.02272,27679.73085,23772.61466,23945.88447,23380.05758,22897.10276,22624.96007,23084.75461,21745.55487,21134.46458,23519.82334,24178.42506,26156.72587,27251.70028,28409.0299,29013.40333,29188.00406,30261.14291,11358.33418
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,9831.968357,9933.658569,9561.711895,10650.28146,11117.56789,11525.58382,11907.68756,12480.97068,12537.11068,13376.17857,13597.47802,13539.0526,14538.02204,14820.112,14723.96787,15274.83192,15496.55262,15748.9844,15544.62796,15438.88988,15454.4196,15705.28875,16071.42939,16126.41576,16127.78086,16645.23626,16718.83926,16939.49186,17108.76636,16587.87262,15611.51972,12292.43526,10332.54191,9343.680512,9845.764232,10323.29935,11057.81914,11875.4234,11682.20114,12151.31526,12959.63968,13888.5714,15291.05627,16463.25125,17769.66796,19271.27117,21275.13864,22008.84809,18846.12737,19438.92555,22322.04186
Luxembourg,22753.44919,22873.08317,22969.80403,24887.00715,24984.88932,24973.12198,24744.51799,25811.93778,28543.85936,28793.49668,29270.31307,30839.54084,33029.45578,34143.38761,31577.2706,32174.82494,32646.18914,33833.74658,34718.34974,34892.10851,34640.33055,34965.4211,35996.55103,38229.28737,39300.25707,43071.41265,44573.01069,48259.2145,52601.83292,54836.98072,59076.05248,59210.13615,60761.1663,62347.46465,62194.11906,63279.2078,67950.11067,72038.33714,76635.9671,82543.04246,82554.25336,83184.63611,84330.38498,86880.75282,90406.63704,93422.65502,97961.7575,95551.95474,90003.98045,90908.73619,90297.44828
"Macao, China",7888.630843,8443.64539,9037.708684,9673.568048,10354.1641,11082.64434,11862.37772,12696.97023,13590.28154,14546.4429,15218.57926,16079.11298,17105.17296,18259.88577,19515.94244,20832.5239,22268.69653,23759.96876,24972.13523,26183.87339,27255.39821,27285.45691,28772.08402,29882.34472,28767.91625,29354.44638,32181.31278,33303.46595,33721.88984,35267.86274,35599.15304,39435.09664,40704.48582,41723.47313,42422.06931,41622.64141,40937.7644,38553.0611,37144.96962,38738.75667,39279.03719,42598.27136,47910.63115,60675.55443,64108.70031,71594.57567,79875.47692,80505.10184,79930.6948,99213.49259,117187.6263
"Macedonia, FYR",4191.879845,4228.552853,4623.626745,5019.21406,5104.630918,5328.183432,5372.869349,5440.19777,6001.081331,6241.625764,6900.500405,7074.04481,7249.0873,8111.579178,8040.271855,8211.051477,8726.976732,9128.773482,9672.986411,10079.80048,10197.65031,10206.33351,10236.4046,10438.28259,10467.57534,10841.8166,10670.08037,10473.59564,10295.68268,9508.862519,9471.898228,8797.905435,8097.936566,7917.306994,7790.532239,7842.837099,7916.456165,8144.658451,8461.342116,8812.548084,8385.195721,8433.887359,8650.852892,8986.40044,9339.843862,9790.221171,10367.13812,10867.20572,10745.68064,11032.21404,11322.69265
Madagascar,2276.008042,2282.201358,2214.650825,2255.614536,2198.457309,2196.755404,2269.230971,2371.512456,2407.594332,2477.655275,2517.154889,2428.260991,2310.7591,2302.320517,2275.777285,2148.780256,2144.498125,2034.642098,2174.841964,2132.480702,1895.211654,1809.331122,1773.460427,1660.985208,1650.970238,1615.767141,1604.583099,1583.63994,1600.569521,1615.130838,1470.201608,1445.205819,1432.967801,1391.312042,1373.635691,1361.020625,1369.686922,1380.801972,1402.799171,1426.336927,1466.783843,1242.398672,1323.522821,1352.03889,1372.053442,1402.1254,1449.945443,1512.436465,1412.47168,1382.077886,1371.644336
Malawi,459.370458,447.1472759,427.8967519,407.7691515,451.3746658,484.2832515,517.8021084,498.0507375,515.9530057,510.7004987,569.3531943,610.9171734,643.9966624,667.5174897,672.5511197,678.9204275,693.0542368,735.2765659,747.950093,731.5542798,635.2523941,628.8946252,638.4931386,641.9745346,644.3662087,623.7588724,582.0736419,567.1470679,561.8516591,567.9711659,599.3202518,546.2771869,602.6248835,530.0320645,571.3516725,614.9639393,622.9138296,619.9838777,609.8787181,602.5814187,557.6759726,558.8941698,523.9339782,590.8641733,593.5325913,603.6825738,642.5597294,675.4637266,713.5990657,737.8377784,747.259065
Malaysia,3056.415354,3142.006283,3204.280145,3316.287624,3463.082804,3544.154848,3513.542059,3728.242274,3849.531458,3991.139041,4185.670388,4394.884319,4914.112254,5160.352479,5083.909601,5586.640458,5904.778108,6278.113234,6635.145186,7019.523203,7339.915716,7589.917809,7862.09018,8268.649591,7979.319412,7879.408677,8098.107341,8603.848456,9195.056966,9850.778869,10548.29321,11226.57802,12055.52479,12869.25362,13823.70179,14877.6208,15630.56659,14178.42425,14736.82067,15674.6604,15417.24029,15744.82098,16347.43367,17153.05734,17686.93128,18427.88445,19333.18575,20006.43079,19323.69543,20339.25451,21096.02402
Maldives,1085.127209,1108.484024,1132.343584,1156.716708,1181.614452,1207.048107,1233.029208,1259.56954,1286.681139,1314.376301,1351.036822,1351.182724,1339.417239,1380.70813,1237.582896,1211.873211,1311.204009,1461.74836,1571.603866,1810.221297,1965.084869,1851.174766,2089.268705,2573.19777,2817.89035,2984.439367,3144.834155,3309.381253,3501.053874,3944.235313,4118.557656,4248.594422,4384.638389,4553.768973,4759.332879,5064.575881,5533.364224,5934.696403,6283.588675,6449.534159,6552.298071,6844.621517,7363.202314,8071.014974,7545.585551,8865.821744,9612.009154,10620.59632,10065.71509,10598.27586,11158.09623
Mali,747.3115104,736.3297525,769.8590674,789.7514818,784.297189,800.1481102,808.8023923,821.020204,799.1252812,829.6741707,839.3412399,862.7596466,822.5920447,784.0080154,871.9717309,967.1621502,1018.620302,978.231218,1196.403006,1040.084499,989.126634,917.1416246,941.6670087,966.5023473,971.3539525,1014.71357,1015.320282,995.0382448,1075.668898,1062.890186,1032.460563,1096.7078,1048.556074,1053.429098,1102.869379,1124.532109,1172.754042,1201.93239,1252.678374,1268.426612,1387.672804,1411.905547,1476.165404,1473.803199,1524.082546,1555.018406,1572.348084,1600.492138,1621.394306,1664.398503,1657.991554
Malta,2938.241953,2842.790482,2848.422211,2906.857249,3096.824266,3415.156342,3635.974036,3989.283289,4231.185313,4755.22855,4907.736195,5215.414036,5722.891942,6254.906523,7392.936293,8495.265659,9281.367304,10027.70634,10844.65072,11498.332,11874.01448,12229.63209,12316.02607,12652.735,13232.07497,13607.71619,14025.796,15077.096,16173.20636,17043.0443,17954.77316,18623.11547,19268.62587,20176.05681,21192.37471,21921.96158,22794.26159,23467.23713,24214.65923,25608.18003,25003.55392,25464.99835,25217.28395,25100.2178,25777.17039,26289.60028,27172.22506,28056.22879,27099.75171,27828.5464,28177.57756
Marshall Islands,1998.908724,2028.09849,2057.288256,2086.478021,2115.667787,2144.857553,2174.047319,2203.237085,2232.426851,2261.616617,2290.806383,2319.996149,2349.185915,2588.485002,2484.424549,2402.002517,2378.042737,2429.636872,2395.905313,2138.580345,2182.683074,2151.932221,2391.425465,2343.608814,2177.625505,2542.418735,2744.421756,2872.985011,2786.414878,2960.273547,2890.699018,3040.608278,3180.088798,3332.056204,3574.416499,3182.629629,2960.210749,2863.551518,2786.642788,2945.986361,3102.622727,3185.188184,3193.421303,3194.164668,3278.922359,3338.983044,3436.450416,3363.982003,3307.444855,3486.865978,3510.274975
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,1621.754613,1565.89525,1450.38163,1857.632658,2086.009718,2067.288452,2107.560243,2259.52684,2189.902852,2378.793062,2362.616392,2353.303337,2169.556791,2350.858848,2161.640918,2292.174265,2220.782992,2168.584231,2222.420266,2261.500017,2295.239024,2196.547733,2249.141874,2035.433976,2040.843077,2100.143695,2108.240026,2128.257884,2148.288312,2066.501132,2061.174867,2018.913231,2047.106803,2071.57492,2109.114053,2181.332459,2199.492895,2217.293344,2240.530437,2285.070701,2316.316958,2341.688118,2401.67027,2454.205061,2507.755287,2721.740973,2678.533072,2702.892816,2605.081802,2671.844042,2710.430447
Mauritius,3196.424291,3129.499585,3495.329272,3161.851112,3180.17393,2993.323756,3063.075378,2799.795644,2894.903065,2836.715542,2934.909451,3186.936152,3544.236553,3871.942066,3822.639449,4383.18871,4592.016506,4683.873405,4760.547454,4205.647891,4382.533309,4563.6238,4534.744878,4701.661824,4982.302884,5427.378823,5919.269971,6264.039433,6476.589389,6865.066452,7228.543279,7496.558711,7917.300752,8188.222662,8394.487983,8747.060942,9188.660153,9657.200707,10084.6946,10259.32256,10891.18856,11163.70727,11835.47959,12289.77161,12565.92339,13034.0905,13667.15139,14375.77325,14704.96151,15241.50062,15755.99213
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,6132.21859,6226.785492,6528.8596,7085.714889,7318.615499,7590.298792,7821.158559,8204.293049,8456.80496,8767.345453,8816.258979,9254.545995,9690.714949,9951.424414,10219.04451,10370.80352,10430.86243,11085.85847,11871.40969,12666.05738,13441.62281,13062.34317,12317.54963,12472.61977,12483.1593,11842.17786,11807.92145,11726.51408,11980.67726,12372.26194,12660.7521,12873.75246,12887.48807,13228.75578,12169.93789,12605.08155,13274.5639,13738.65604,14078.46033,14806.54482,14627.91574,14599.86376,14648.47431,15111.21753,15380.73753,15955.23227,16206.32446,16133.61088,14922.73043,15480.74363,15886.71746
"Micronesia, Fed. Sts.",1565.570372,1586.207256,1606.844139,1627.481023,1648.117906,1668.75479,1689.391673,1710.028557,1730.66544,1751.302324,1772.42021,1785.521623,2392.214949,2750.627602,2723.514225,2680.541702,2674.083876,2737.433853,2702.921676,2425.625243,2573.36711,2424.419602,2397.400445,2233.774939,2532.850164,2667.04973,2659.041704,2758.309659,2715.782389,2763.054473,2894.099102,2932.566084,3094.254093,3016.193439,3184.846248,3063.36187,2873.196671,2965.500251,3018.47084,3167.315915,3230.473175,3255.533831,3320.157914,3220.140125,3301.391413,3311.964567,3261.927515,3196.6538,3243.388724,3337.146601,3411.998722
Moldova,4037.108496,4078.863555,3926.138381,4373.116368,4564.989041,4732.524625,4889.420396,5124.816411,5147.868076,5492.398081,5583.265939,5559.275853,5969.4631,6087.822577,6050.843421,6279.832298,6373.63595,6480.153053,6398.727202,6357.844256,6366.885904,6472.929036,6626.58811,6652.025069,6655.354465,6871.745924,6905.001931,6999.042212,7071.922327,6859.461622,5621.004313,3972.507473,3914.591694,2702.871945,2667.190848,2514.933608,2560.211813,2397.010047,2317.490217,2366.897695,2510.759376,2704.781614,2871.973817,3079.654888,3303.960518,3472.169546,3585.067722,3873.789278,3646.669912,3909.537263,4179.214809
Monaco,19696.53014,20460.65421,21224.77828,21988.90235,22753.02642,23517.15049,24281.27455,25045.39862,25809.52269,26573.64676,27745.48408,28793.59613,30447.17696,31577.64,31074.79848,32280.54946,33274.21714,34449.29711,35523.74989,35965.1839,36118.31303,36800.60771,37030.94016,37368.19736,37798.09306,38507.19761,39248.49494,40828.2474,42296.66867,43172.82584,43365.23877,43703.35185,43063.4634,43791.31618,44514.04449,44835.61547,45690.3886,47143.9718,48522.8533,50200.09397,50854.84592,51060.49156,51274.80075,52196.11151,52760.9127,54635.9127,60929.56349,59857.14286,53735.11905,54145.83333,58081.34921
Mongolia,1053.853356,1084.748264,1118.675713,1151.937009,1186.393396,1221.025205,1258.996549,1296.454821,1334.530345,1375.749299,1399.300347,1406.736427,1486.161202,1505.699598,1548.988091,1563.130711,1672.593538,1701.201587,1729.407486,1948.555531,1724.643674,1998.726411,2240.300278,2496.020204,2434.143874,2554.858264,2706.966245,2788.087812,2713.361237,3836.361642,2740.773143,2560.627273,2082.28058,2228.757309,2882.91442,2647.259189,2729.676026,2562.254277,2631.268211,2892.156833,3115.185585,3328.026024,3601.660822,4164.656325,4829.337077,5840.350769,6385.241377,6354.646175,5894.083354,6765.508918,7494.950771
Montenegro,6423.883384,6480.083259,7085.517743,7691.739027,7822.636847,8165.221876,8233.701205,8336.87924,9196.410219,9565.034665,10574.73294,10840.6826,11108.92802,12430.66133,12321.38579,12583.09854,13373.73276,13989.46975,14823.45367,15446.87949,15627.47951,15640.78616,15686.86886,15996.23857,16041.12852,16614.63784,16351.45913,16050.35437,15777.71008,14571.94056,12885.92697,9760.469871,6123.055688,6129.732984,6894.983499,8632.143678,9011.048009,9250.564645,8380.444233,8620.922222,8796.708097,9138.68326,9605.715193,10278.40276,10916.75843,11837.28862,12821.28313,13671.668,12838.18678,13095.38975,14068.95875
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,2015.789104,2035.284365,2054.78812,2074.501753,2094.752671,2157.950548,2223.292943,2290.30752,2358.678181,2428.718514,2501.291981,2508.051772,2546.008374,2630.983163,2751.410028,2994.096949,3080.330074,3108.873139,3188.64706,3414.379353,3259.946748,3511.723872,3400.246198,3450.114553,3571.934389,3754.689611,3579.845859,3851.164447,3846.606662,3900.864449,4119.14511,3929.818404,3825.450615,4196.645287,3870.18553,4325.381643,4177.177886,4448.265178,4413.677348,4429.572189,4710.234364,4814.749859,5067.257227,5258.791072,5363.42929,5725.244827,5825.403188,6091.351322,6313.479179,6465.692537,6697.602072
Mozambique,517.4802195,541.6036736,511.217321,522.0947519,522.6954633,527.7777648,551.3160029,599.2120276,655.0640922,674.3419074,702.5785582,705.2771149,724.6748086,651.5503196,543.0868872,500.8931678,488.7100448,477.8637927,469.9775717,472.2242231,470.7012694,449.6884081,411.3911189,395.5823324,356.1017787,359.161446,379.3130052,412.9805731,431.1225714,431.2266112,443.0973734,399.7641181,418.5359927,417.1036832,408.4929199,424.1160505,459.548485,505.2519549,531.0161351,528.1017134,584.8791715,616.4509066,653.5729249,691.1709116,722.869398,770.2262119,810.1118916,848.4810329,884.5332679,928.6269786,977.0792035
Myanmar,1281.645679,1369.424143,1383.578417,1383.281302,1392.89959,1310.491776,1322.482687,1383.187115,1413.220237,1449.094642,1467.843847,1450.313076,1417.822468,1464.599712,1498.414824,1561.994434,1627.009575,1707.312326,1757.937829,1870.545531,1940.677621,2007.938263,2055.006595,2114.643105,2134.531552,2074.757733,1958.379758,1710.140845,1749.252196,1774.631959,1740.973903,1783.708732,1808.691065,1839.372131,1867.887666,1894.810645,1918.920751,1943.788948,1997.677238,2069.212572,2129.375008,2195.673575,2275.504584,2350.596236,2338.843255,2592.558614,2846.230357,2890.550732,2979.338983,3076.729252,3180.777768
